Action / Cas de Test,Résultat Attendu,Pass/Fail
Se connecter avec un compte enseignant,On ne voit pas la page d’administration sur le profil,
Se connecter avec un compte admin,"On voit la page d’administration sur le profil, et on peut accéder aux logs, stats et configuration",
"Se déconnecter, quitter le navigateur et revenir",On est déconnecté et il faut se reconnecter de nouveau,
Demander une quesiton en mode ‘Discuter’ : “A quoi sert le composant jsx ?”,L’IA réponds en texte avec une explictation du composant jsx,
Demander la génération d’un exercice qui ressemble à un template existant : “je veux un exercice de math pour les élèves Licence 1 sur le positionnement d'un point dans un composant jsx”,Un exercice est généré avec le template ‘Positionnement point (modèle) (JSX)’,
Demander la génération d’un exercice qui ressemble à un template en activant l’option ‘Exercice entièrement personnalisé’ avec la demande “je veux un exercice de math pour les élèves Licence 1 sur le positionnement d'un point dans un composant jsx”,"Un exercice est généré sans utiliser de template, à partir de zéro.",
"Demander de générer un exercice en joignant un composant et activant l’option d’exercice personnalisé : “génère moi un exercice de questions générale sur le thème de la 2ème guerre mondiale”, le composant ‘wc-radio-group’ est attaché.",Un exercice est généré et le composant attaché (wc-radio-group) est utilisé.,
"Demander de générer un exercice en joingant un fichier de données : “fait moi un exercice de questions réponses (type QCM) avec les questions du fichier que j’ai joint”, un fichier ‘data.csv’ (avec 10 entrées) est attaché.",Un exercice est généré avec les données du ficheir joint.,
Joindre 10 ficheir à la conversation,Uniquement les 5 (ou la limite spécifié dans la confiuguration) sont attaché à la conversation,
"Joindre un champs d’un exercice à la discussion et demander à l’IA de générer le contenu de ce champs : “génère moi un énoncé long, avec 1 exemple détaillé du calcul du PGCD de 2 nombres”, le champs ‘énoncé’ de l’exercice est joint à la conversation","L’IA génère uniquement la valeur du champs ‘énoncé’ de l’exercice, et seul ce champs est modifié",
"Joindre un champs et demander à l’IA de modifier un autre champs : “génère moi une solution détaillé avec 2 exemples explicatifs”, le champs ‘énoncé’ est joint",le champs ‘solution’ n’est pas modifié et le champs ‘solution’ est potentiellement modifié,
Cliquer sur ‘prévisualiser’ pour prévisualiser un exercice valide,L’utilisateur est redirigé vers la prévisualisation de l’exercice,
Cliquer sur ‘prévisualiser’ pour prévisualiser un exercice valide avec une erreur de syntaxe,"Un message d’erreur s’affiche sur la discussion induquant que la prévisualisation a échoué, avec le message de l’erreur technique",
"Glisser un composant du panneau des composant vers l’onglet composant de l’exercice (le composant ‘wc-input-box’ par exemple, et ajouter la variable du composant dans le champs ‘forme’ de l’exercice, et prévisualiser l’exercice.",Le composant apparait bien sur le rendu de l’exercice.,
"Cliquer sur le bouton publier, et dérouler la liste des cercles",l’enseignat voit la liste des cercles auxquel il a accès,
"Remplir les champs ‘titre’, ‘énoncé’, ‘readme’, ‘niveaux’ et ‘sujets’ (utiliser les sujets ‘Aléatoire’, ‘Dénombrement’, et les niveaux ‘Licence 1’, ‘MathSup1’), ensutie publier l’exercice sur le cercle personnel avec le status ‘brouillon’","l’exercice apparait sur le cercle personnel avec le status ‘brouillon’, un fichier main.ple est rempli avec le code ple de l’exercice, un fichier readme.md est rempli avec le readme de l’exercice, et un fichier tags.md est rempli avec tout les tags (niveaux et sujets) de l’exercice, et l’exercice est taggé avec le sujet ‘Aléatoire’ et le niveau ‘Licence 1’.",
Publier un exercice on le cercle personnel avec le status ‘pret à l’emploi’,L'exercice est ajouté au cercle personnel avec le status pret à l'emploi,
Rechercher les templates avec le filtre composant = ‘jsx’,On voit en résultat la liste de tout les templates avec le composant ‘jsx’,
Rechercher les templates avec le mot clé ‘python’,on voit la liste des templates dont le titre contient le mot clé ‘python’,
Filtrer les templates avec le niveau ‘Licence 1’,les templates avec le niveau ‘Licence 1’ apparaissent,
Filtrer les templates avec le sujet ‘Aléatoire’,les templates avec le sujet‘Aléatoire’ apparaissent,
Filtrer les templates avec le cercle ‘Informatique’,les templates avec le cercle ‘Informatique’ apparaissent,
Cliquer sur le bouton de redirection sur le composant ‘InputBox’ sur le panneau de composants,l’utilisateur est redirigé vers la documentation du composant,
"Remplir manuellement les champs de l’exercice (les champs ‘titre’, ‘énoncé’ et ‘solution’) et cliquer sur le bouton réinitialiser, et cliquer ‘Réinitialiser’ sur le pop up de confirmation",Tout les champs de l’exercice sont réinitialisés,
"Joindre 5 fichiers à la discussion, et envoyer une demande de génération, ensuite joindre de nouveau 5 autres fichiers",Les 5 autres fichiers sont correctement joint sans problème,
"Se connecter en tant qu’Admin, générer un exercice (en format ‘exercice enièrement personnalisé), et accéder aux journaux","La conersation courante apparait, à l’intérieur, tout les détails de la génération sont visibles",
"Se connecter en tant que admin, consulter le nombre d’exercices publiés, revenir et publier un exercice, consulter la page des statistiques","la page des statistiques et mise à jour, et le nombre d’exercices publié augmente de 1",
